vacancy_id,rag_chunk,description_cleaned
127162840,"Вакансия: Middle+/Senior Data Scientist в команду NLP Core. Город:  Новосибирск. Опыт: От 3 до 6 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Требования: опыт работы nlp_задачами лет. уверенное владение pytorch hf transformers основными библиотеками обработки текста и.... Обязанности: Добыча данных – умные системы для поиска товаров, контактов, описаний и других данных, связанных с компаниями. Поддержка актуальности информации о компаниях...",привет команда nlp core специализируемся актуализации сборе данных компаниях. работая неструктурированной сложной информацией превращаем хаос данных структурированные качественные информационные потоки обеспечивая высокую точность полноту актуальность контента продукте. наша работа напрямую влияет качество сервиса лояльность пользователей. разрабатываем алгоритмические ml_решения автоматизации задач применяя весь спектр инструментов nlp стека расстояния левенштейна линейных моделей коммерческих llm локальных аналогов. расширяем команду ищем nlp_инженера которому интересно работать большими сложными наборами данных развивать ml_решения структурируя приводя порядок. какие задачи решаем добыча данных умные системы поиска товаров контактов описаний других данных связанных компаниями. поддержка актуальности информации компаниях помощью данных моделей проводим валидацию существующей информации компаниях добываем новую. категоризация товаров автоматическая классификация товаров основе описаний характеристик. модерация данных предотвращаем публикацию нежелательных отзывов товаров продукте. наши ожидания кандидата опыт работы nlp_задачами лет. уверенное владение pytorch hf transformers основными библиотеками обработки текста ml dl. глубокое понимание llm архитектуры моделей файнтюнинга техник улучшения качества генерации. опыт применения llm стека низкоуровневых решений vllm sglang инструментов оркустрации интеграции langchain llamaindex. навыки применения классических глубоких llm моделей. уверенные навыки разработки python владение git. готовность работать этапах разработки анализа проблемы проведения экспериментов оценки решений реализации виде сервисов. крутым бонусом опыт работы ci cd инфраструктурой docker gitlab kubernetes kafka fastapi grpc. глубокое знание python multiprocessing asyncio. навыки интеграции деплоя ml_моделей продуктовые серверные приложения. навыки оптимизации инференса ml dl_моделей distillation pruning ort triton. почему стоит нам присоединиться сложные задачи реальном продукте сотни тысяч организаций горы связанных ними данных разной степени структурированности. свобода выбирать технологии используем классические алгоритмы передовые ml решения. влияние продукт разрабатываемые нами решения улучшают пользовательский опыт продуктах компании. сильная команда которой расти умножать свои знания принося общий вклад. фокус исследования первую очередь занимаемся поиском оптимальных подходов качеству производительности. почему классно 2гис аккредитованная it_компания. работать удалённо. важен специалист локация. хочешь работать гибридном формате офисы москве санкт_петербурге классных офиса новосибирске. также коворкинги нижнем новгороде томске астане алма_ате. само собой полностью белая зарплата. заботимся здоровье дмс возможность получать онлайн_консультации терапевта невролога психолога медицинского агента. хочешь делиться своим опытом поможем выступлениями конференциях статьями хабра vc. собственный учебный центр курсы тренинги книги прокачки скиллов.
125420858,"Вакансия: Middle+/Senior Data Scientist в команду NLP Core. Город:  Москва. Опыт: От 3 до 6 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Требования: опыт работы nlp_задачами лет. уверенное владение pytorch hf transformers основными библиотеками обработки текста и.... Обязанности: Добыча данных – умные системы для поиска товаров, контактов, описаний и других данных, связанных с компаниями. Поддержка актуальности информации о компаниях...",привет команда nlp core специализируемся актуализации сборе данных компаниях. работая неструктурированной сложной информацией превращаем хаос данных структурированные качественные информационные потоки обеспечивая высокую точность полноту актуальность контента продукте. наша работа напрямую влияет качество сервиса лояльность пользователей. разрабатываем алгоритмические ml_решения автоматизации задач применяя весь спектр инструментов nlp стека расстояния левенштейна линейных моделей коммерческих llm локальных аналогов. расширяем команду ищем nlp_инженера которому интересно работать большими сложными наборами данных развивать ml_решения структурируя приводя порядок. какие задачи решаем добыча данных умные системы поиска товаров контактов описаний других данных связанных компаниями. поддержка актуальности информации компаниях помощью данных моделей проводим валидацию существующей информации компаниях добываем новую. категоризация товаров автоматическая классификация товаров основе описаний характеристик. модерация данных предотвращаем публикацию нежелательных отзывов товаров продукте. наши ожидания кандидата опыт работы nlp_задачами лет. уверенное владение pytorch hf transformers основными библиотеками обработки текста ml dl. глубокое понимание llm архитектуры моделей файнтюнинга техник улучшения качества генерации. опыт применения llm стека низкоуровневых решений vllm sglang инструментов оркустрации интеграции langchain llamaindex. навыки применения классических глубоких llm моделей. уверенные навыки разработки python владение git. готовность работать этапах разработки анализа проблемы проведения экспериментов оценки решений реализации виде сервисов. крутым бонусом опыт работы ci cd инфраструктурой docker gitlab kubernetes kafka fastapi grpc. глубокое знание python multiprocessing asyncio. навыки интеграции деплоя ml_моделей продуктовые серверные приложения. навыки оптимизации инференса ml dl_моделей distillation pruning ort triton. почему стоит нам присоединиться сложные задачи реальном продукте сотни тысяч организаций горы связанных ними данных разной степени структурированности. свобода выбирать технологии используем классические алгоритмы передовые ml решения. влияние продукт разрабатываемые нами решения улучшают пользовательский опыт продуктах компании. сильная команда которой расти умножать свои знания принося общий вклад. фокус исследования первую очередь занимаемся поиском оптимальных подходов качеству производительности. почему классно 2гис аккредитованная it_компания. работать удалённо. важен специалист локация. хочешь работать гибридном формате офисы москве санкт_петербурге классных офиса новосибирске. также коворкинги нижнем новгороде томске астане алма_ате. само собой полностью белая зарплата. заботимся здоровье дмс возможность получать онлайн_консультации терапевта невролога психолога медицинского агента. хочешь делиться своим опытом поможем выступлениями конференциях статьями хабра vc. собственный учебный центр курсы тренинги книги прокачки скиллов.
126592177,"Вакансия: Data Scientist (Речевая аналитика). Город:  Москва. Опыт: От 1 года до 3 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Требования: опыт работы нейросетевыми библиотеками pytorch transformers опыт работы api llm облако ollama знание nlp_стека. опыт создания инференс.... Обязанности: Обучение и развертывание нейросетевых трансформерных моделей (BERT*, LLM). Проектирование и разработка микросервисов на Python (FastAPI); Интеграция с Keycloak, создание механизмов...",кс финтех ит_компания входящая бкс мир инвестиций которой работают профессионалов реализующих актуальные решения бизнеса. компания аккредитована минцифры россии ит_компания. бкс мир инвестиций международная инвестиционно_банковская компания одна крупнейших россии. существуем рынке лет предоставляем клиентам максимально широкий спектр брокерских инвестиционных услуг. новаторы области цифровых технологий финансовой сфере. единой цифровой платформе холдинга собраны ключевые решения профессиональных инвесторов новичков. став частью нашей команды попадешь современную ит_компанию которая является резидентом сколково. предстоит заниматься обучение развертывание нейросетевых трансформерных моделей bert llm проектирование разработка микросервисов python fastapi интеграция keycloak создание механизмов авторизации проектирование оптимизация хранилища данных реляционных бд postgresql s3 minio работа броекрами сообщений rabbitmq kafka работа ci cd_конвейерами gitlab контейнеризация docker сервисов опыт работы docker compose kubernetes плюсом требования опыт работы нейросетевыми библиотеками pytorch transformers опыт работы api llm облако ollama знание nlp_стека опыт создания инференс_серверов ml моделей nvidia triton sglang плюс опыт обучения инференса трансформерных архитектур bert llm уверенные знания python создание api fastapi uvicorn знакомство asyncio опыт взаимодействия keycloak опыт работы docker kubernetes плюсом git ci cd_системы знания опыт работы реляционными базами данных postgresql плюс понимание микросервисного подхода rest grpc_интерфейсов опыт работы брокерами сообщений rabbitmq kafka плюс опыт работы терминалом linux bash предлагаем стабильный конкурентный доход гибридный режим работы возможность работать удаленно частично полностью работу аккредитованной минцифры россии ит_компании резиденте сколково работу стабильной активно развивающейся компании лидере инвестиционного рынка современный стек технологий амбициозные проекты возможность профессионального развития дмс первого месяца работы оформление согласно тк рф.
126647836,"Вакансия: Data Scientist (OCR). Город:  Москва. Опыт: От 1 года до 3 лет. График: Полный день. Занятость: Полная занятость. Минимальная зарплата: 0.0.Требования: опыт работы нейросетевыми библиотеками pytorch transformers опыт работы api llm облако ollama знание nlp_стека. опыт создания инференс.... Обязанности: Обучение и развертывание нейросетевых трансформерных моделей (BERT*, LLM, VLM). Проектирование и разработка микросервисов на Python (FastAPI). Интеграция с Keycloak, создание...",бкс финтех ит_компания входящая бкс мир инвестиций которой работают профессионалов реализующих актуальные решения бизнеса. компания аккредитована минцифры россии ит_компания. бкс мир инвестиций международная инвестиционно_банковская компания одна крупнейших россии. существуем рынке лет предоставляем клиентам максимально широкий спектр брокерских инвестиционных услуг. новаторы области цифровых технологий финансовой сфере. единой цифровой платформе холдинга собраны ключевые решения профессиональных инвесторов новичков. став частью нашей команды попадешь современную ит_компанию которая является резидентом сколково. предстоит заниматься обучение развертывание нейросетевых трансформерных моделей bert llm vlm проектирование разработка микросервисов python fastapi интеграция keycloak создание механизмов авторизации проектирование оптимизация хранилища данных реляционных бд postgresql s3 minio работа броекрами сообщений rabbitmq kafka работа ci cd_конвейерами gitlab контейнеризация docker сервисов опыт работы docker compose kubernetes плюсом ждем опыт работы нейросетевыми библиотеками pytorch transformers опыт работы api llm облако ollama знание nlp_стека опыт создания инференс_серверов ml моделей nvidia triton sglang плюс опыт обучения инференса llm ocr моделей опыт предобработке изображений opencv тд уверенные знания python создание api fastapi uvicorn знакомство asyncio опыт взаимодействия keycloak опыт работы docker kubernetes плюсом git ci cd_системы знания опыт работы реляционными базами данных postgresql плюс понимание микросервисного подхода rest grpc_интерфейсов межсервисных очередей rabbitmq kafka плюс опыт работы терминалом linux bash предлагаем стабильный конкурентный доход гибридный режим работы возможность работать удаленно частично полностью работу аккредитованной минцифры россии ит_компании резиденте сколково работу стабильной активно развивающейся компании лидере инвестиционного рынка современный стек технологий амбициозные проекты возможность профессионального развития дмс первого месяца работы оформление согласно тк рф.
122137273,Вакансия: Data Scientist. Город:  Москва. Опыт: От 3 до 6 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Требования: опыт взаимодействия keycloak. проектирование оптимизация хранилища данных postgresql реляционные таблицы векторные индексы pgvector. Обязанности: Развертывание классических и нейросетевых ML моделей. Проектирование и разработка микросервисов на Python (FastAPI) для RAG-систем:,бкс финтех ит_компания входящая бкс мир инвестиций которой работают профессионалов реализующих актуальные решения бизнеса. компания аккредитована минцифры россии ит_компания. бкс мир инвестиций международная инвестиционно_банковская компания одна крупнейших россии. существуем рынке лет предоставляем клиентам максимально широкий спектр брокерских инвестиционных услуг. новаторы области цифровых технологий финансовой сфере. единой цифровой платформе холдинга собраны ключевые решения профессиональных инвесторов новичков. став частью нашей команды попадешь современную ит_компанию которая является резидентом сколково. предстоит заниматься развертывание классических нейросетевых ml моделей проектирование разработка микросервисов python fastapi rag_систем интеграция классических bm25 нейронных bert bge e5 векторизаторов организация потоковой обработки запросов requests streaming asyncio web sockets опыт взаимодействия keycloak проектирование оптимизация хранилища данных postgresql реляционные таблицы векторные индексы pgvector работа ci cd_конвейерами gitlab базовые devops задачи контейнеризация docker сервисов опыт работы docker compose kubernetes плюсом ждем опыт библиотеками pytorch работа llm api знание nlp_стека работа tf_idf bm25 нейросетевыми энкодерами bert bge e5 уверенный python опыт fastapi знакомство asyncio интеграция keycloak понимание oauth2 openid connect настройка realm ов клиентов docker kubernetes плюсом git ci cd_системы postgresql pgvector аналогичные расширения векторного поиска понимание микросервисного подхода rest grpc_интерфейсов межсервисных очередей rabbitmq kafka плюс мониторинг логирование prometheus grafana sentry предлагаем стабильный конкурентный доход гибридный режим работы возможность работать удаленно частично полностью работу аккредитованной минцифры россии ит_компании резиденте сколково работу стабильной активно развивающейся компании лидере инвестиционного рынка современный стек технологий амбициозные проекты возможность профессионального развития дмс первого месяца работы оформление согласно тк рф.
126743751,Вакансия: Junior + \ Middle Data Scientist в команду моделирования розничного бизнеса. Город:  Москва. Опыт: От 1 года до 3 лет. График: Полный день. Занятость: Полная занятость. Минимальная зарплата: 0.0.Требования: опыт работы банковском финансовом телеком ритейл секторе 2_х лет роли аналитика ds понимание банковских бизнес_процессов.... Обязанности: Участие в обсуждении и проработке постановки задачи с бизнес заказчиком. Самостоятельная разработка риск моделей для сегмента ФЛ с фокусом на...,обязанности участие обсуждении проработке постановки задачи бизнес заказчиком самостоятельная разработка риск моделей сегмента фл фокусом модели прогнозирования дохода анализ качества данных отбор признаков обучение различных алгоритмов проведение различных исследований включая анализ внутренних внешних источников данных подготовка бизнес требований витрины разработки моделей также требований внедрение модели промышленную эксплуатацию подготовка модельной документации участие согласовании разработанных моделей заказчиком подготовка презентаций. требования опыт работы банковском финансовом телеком ритейл секторе 2_х лет роли аналитика ds понимание банковских бизнес_процессов опыт моделировании уверенное владение python spark знание алгоритмов ml деревьев решений случайных лесов регрессии бустингов кластеризации временных рядов нейросетей опыт работы текстовыми данными приветствуется. умение работать условиях многозадачности самостоятельность опыт написания тз бт проектной документации апособность поддержки full_stack разработки сбора требований задаче реализации документации последующего мониторинга моделей наличие публикаций ml dl опыт выступлений является преимуществом.
126926550,Вакансия: МЕЖДУНАРОДНАЯ КОМАНДА ПРИГЛАШАЕТ ПРОГРАММИСТА ДЛЯ HR-ПРОЕКТА. Город:  Санкт-Петербург. Опыт: От 3 до 6 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 184000.0.Требования: ui tailwind css lucide react icons. database supabase postgresql продуктовый лидер опытом построения международных hr_проектов международного.... Обязанности: CTO из экосистемы Terra.  <highlighttext>Data</highlighttext> <highlighttext>Scientist</highlighttext> с фоном в психометрии и поведении команд. Пришлите в чат: Краткий рассказ о себе.,привет наш стартап решает проблему эффективности найма индонезии стране уникальным рынком который очень понимаем. остро стоит проблема низкого качества кандидатов компании разбираются нанимать. кривая система найма дает кучу ненужного сотрудников низкого уровня которых постоянно приходится менять. переизобретаем систему найма местных компаний помощью современных технологий хотим выстроить процесс дешевле быстрее. основании хотим построить 10_ти миллиардную компанию. местные hr получают гигантскую массу немытых заявок наш продукт заменяет целую цепочку воронке найма развитием технологий возможно заменит hr отделы станет незаменимым hr. отчетливо понимаем проблему создаем категоричное решение bullshit поверхностного отношения. одновременно претендуя самые крутые. нам нужен middle продвинутый middle frontend backend разработчики просто пишет код любит решать задачи. задачи будут интересные новых технологий интеграций. придется работать frontend react 18.3.1 typescript vite state management redux toolkit jotai ui tailwind css lucide react icons database supabase postgresql backend express.js server deployment netlify преимущества работы нами полностью удаленная работа зарплата usd эквивалент рублях вашим непосредственным руководителем ментором наш cto. будете занимать вакансию кого поучиться надеемся поучиться двухсторонняя связь продакт ux дизайнерами вход подаются сценарии дизайны дальше работаем вместе учитываем ваш фидбек предложения реализации адаптируя дизайны техническим особенностям реализации. общения соприкосновения фаундерами проекта другими it командами делаем прямо разрабатываем интеллектуальную платформу подбора адаптации персонала hr руководители видят просто резюме данные живую систему роста эффективности команды. создаем гибкую архитектуру которая масштабироваться тысячи пользователей интегрироваться популярными hrm crm системами. спринты сложных backend решений тестов ai_моделей реальных hr_процессах. точно понимаем проблему которую решаем основе непрекращающихся кастдевов. наша команда продуктовый лидер опытом построения международных hr_проектов международного бизнес комьюнити. cto экосистемы terra data scientist фоном психометрии поведении команд приходите нам. спринт марафон. вместе отправились длинное путешествие. откликнуться вакансию пришлите чат краткий рассказ ссылки приложения которыми работали укажите каком качестве именно работали ссылку github примеры кода открытом доступе ок запросим краткое описание опыта работы node.js ваш уровень английского контакт телеграм это тест внимательность
127017602,Вакансия: Data Scientist / Ведущий консультант ML / ML Engineer. Город:  Санкт-Петербург. Опыт: От 3 до 6 лет. График: Полный день. Занятость: Полная занятость. Минимальная зарплата: 0.0.Требования: имеете высшее образование математическое области информационных технологий обладаете опытом построения моделей регрессии классификации задачах производства.. Обязанности: Разработка технической стратегии применения машинного обучения (ML). Поиск технологических партнеров (подрядчиков). Взаимодействие с подрядчиками по проектам внедрения. Выявление потенциальных мест...,обязанности разработка технической стратегии применения машинного обучения ml поиск технологических партнеров подрядчиков взаимодействие подрядчиками проектам внедрения выявление потенциальных мест улучшений задач использования создание самообслуживаемых сервисов машинному обучению гик- self seryice быстрой проверки гипотез развитие сервисов видео аналитики настройка процессов mlops поддержка актуального реестра моделей формирование обновление витрин данными корректное переобучение моделей проведение автоматических тестов развертывание новых версий контроль деградациями моделей. рассчитываем имеете высшее образование математическое области информационных технологий обладаете опытом построения моделей регрессии классификации задачах производства владеете статистическими инструментами python matlab имеете глубокие знания методов статистического анализа данных построения математических моделей нейронные сети байесовские сети кластеризация регрессионный факторный дисперсионный корреляционный анализы пр. имеете опыт ведения проектов области computer vision умеете ставить задачу специалистам базам данных владеете sql знаете английский язык уровне чтения технической документации имеете хорошую математическую подготовку области теории вероятностей математической статистики исследования операций других специальных областей. предлагаем работу одной крупнейших производственных компаний россии официальное оформление полностью официальную quot белую quot заработную плату премии результатам работы дмс включая стоматологию офис историческом центре города бесплатные завтраки сотрудников бесплатное обучение рамках корпоративного университета компании бесплатный доступ электронной библиотеке quot альпина quot будем рады видеть нашей команде
126793682,"Вакансия: Data Engineer/ ML Engineer. Город:  Нижний Новгород. Опыт: От 3 до 6 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 250000.0.Требования: лет роли data scientist ml engineer. уверенное владение python pandas scikit_learn catboost lightgbm. опыт построения etl.... Обязанности: Сбор, очистка и агрегирование данных из разных источников. Настройка ETL-пайплайнов (Airflow/dbt, Python). Формирование обучающих выборок по изделиям, материалам...",гк технопарк производитель поставщик оборудования нефтехимической атомной промышленности. года работаем корпоративным сегментом среди клиентов росатом газпром роснефть сибур норильский никель др. запускаем систему cpq аналитическую платформу производственного бизнеса усиливаем команду ml данными. проекте создаём систему автоматизированного расчёта коммерческих предложений cpq аналитическую платформу. проект сочетает ml инженерные расчёты промышленную аналитику работаем разнородными источниками тяжёлыми инженерными данными. обязанности работа данными сбор очистка агрегирование данных разных источников. настройка etl_пайплайнов airflow dbt python формирование обучающих выборок изделиям материалам срокам ценам. участие проектировании dwh clickhouse postgresql разработка ml_моделей обучение моделей расчёта стоимости изделий прогнозирования сроков вероятности выигрыша тендера подбора аналогов оптимальных вариантов атрибутам. использование catboost lightgbm pytorch scikit_learn разработка улучшение пайплайнов обучения mlflow dvc evidentlyai мониторинг качества моделей дрейфа данных mlops интеграция поддержка подготовка ml_сервисов fastapi grpc интеграции cpq crm участие b_тестах моделей legacy vs new формирование отчётности точности влиянию моделей бизнес_метрики. tech stack python 3.11 pandas numpy catboost lightgbm pytorch scikit_learn clickhouse postgresql airflow dbt mlflow dvc evidentlyai fastapi docker gitlab ci cd обязательно лет роли data scientist ml engineer уверенное владение python pandas scikit_learn catboost lightgbm опыт построения etl пайплайнов airflow аналогах. понимание mlops mlflow модели проде мониторинг дрейф данных навыки работы clickhouse postgresql sql желательно опыт работы инженерными данными cad_файлами dwg step опыт ocr nlp тендеры pdf технические задания интеграция ml_сервисов production понимание полного цикла ml данные обучение инференс мониторинг. участие проектах прогнозированию себестоимости сроков soft skills уважение инженерии документации проверке гипотез данными. готовность коммуникации аналитиками инженерами ml_бэкграунда. способность работать автономно держать фокус результате. баланс идеально работает предлагаем участие создании новой промышленной платформы мозг производства просто сайт полное владение жизненным циклом промышленного ml_продукта возможность выстроить архитектуру нуля новый продукт роль стыке ml инженерии данных продакшн_поддержки работа реальными физическими моделями инженерными расчётами. оформление тк рф наставничество оборудованное рабочее место корпоративная связь. пятидневка гибкое начало дня
126792024,Вакансия: Senior Machine Learning Engineer / Старший специалист по машинному обучению. Город:  Москва. Опыт: От 3 до 6 лет. График: Удаленная работа. Занятость: Полная занятость. Минимальная зарплата: 0.0.Требования: опыт работы machine learning engineer research engineer data scientist 4_х лет включая опыт позиции senior team.... Обязанности: 1. Разработка и внедрение LLM-решений: - Создание и оптимизация чат-ботов и интеллектуальных агентов на базе LLM. - Разработка и развитие...,вакансия senior machine learning engineer фудтех llm amp ai agents компании ведущая компания сфере фудтех передовые технологии особенно искусственный интеллект трансформируют пищевую индустрию. наши продукты сервисы меняют правила игры современные ml_решения лежат основе инноваций. присоединяйтесь строить будущее пищевых технологий оказывать реальное влияние команде войдете сильную сплоченную команду профессионалов экспертизой аналитике nlp ml_инжиниринге computer vision. поддержат коллеги data analysts data engineers devops dba продуктовые команды. активно внедряем генеративный ии создаем интеллектуальные системы. предстоит заниматься будете ключевым разработчиком наших интеллектуальных систем создавая продукты платформы которые напрямую влияют клиентский опыт операционную эффективность. ваши решения будут использоваться тысячами пользователей станут основой будущих инноваций. основные задачи 1. разработка внедрение llm_решений создание оптимизация чат_ботов интеллектуальных агентов базе llm. разработка развитие внутренней платформы использования корпоративных llm_сервисов т.ч. агентов обучение тонкая настройка fine_tuning адаптеры lora qlora llm специфические бизнес_задачи. 2. интеграция базами знаний rag retrieval_augmented generation разработка оптимизация систем семантического поиска извлечения релевантной информации векторных баз данных milvus структурированных хранилищ clickhouse методологии mcp аналогичной реализация улучшение rag_пайплайнов повышения точности релевантности ответов llm. 3. разработка поддержка ml_сервисов создание высоконагруженных масштабируемых надежных api_сервисов ml_моделей fastapi интеграция ml_сервисов бизнес_процессы включая автоматизацию инструменты типа n8n. обеспечение мониторинга тестирования эксплуатационной надежности ml_систем. 4. инжиниринг ml_платформы участие развитии ml инфраструктуры включая работу векторными бд feature stores системами экспериментирования мониторинга моделей. оптимизация процессов обучения инференса моделей. наши ожидания требования опыт работы machine learning engineer research engineer data scientist 4_х лет включая опыт позиции senior team lead коммерческих проектах. глубокое знание python экосистемы ml dl. экспертный уровень работы pytorch включая torchscript distributed training плюсом опыт разработки продуктовых веб_сервисов fastapi понимание принципов rest grpc. практический опыт работы векторными базами данных milvus qdrant faiss olap_системами clickhouse bigquery понимание архитектур практик применения llm prompt engineering fine_tuning rag agents опыт работы популярными opensource моделями llama mistral т.д. знание основ mlops docker kubernetes мониторинг ci cd ml уверенное владение sql. инженерные исследовательские навыки умение проектировать реализовывать доводить production сложные ml_системы. способность анализировать оптимизировать производительность ml_пайплайнов инференс обучение понимание современных подходов nlp computer vision бизнес_ориентация понимание ml_решения создают бизнес_ценность. желателен опыт e_commerce маркетинге автоматизации процессов. опыт фудтехе ритейле большое преимущество коммуникация умение ясно доносить сложные технические концепции кросс_функциональных команд стейкхолдеров. опыт взаимодействия аналитиками продуктологами инженерными командами. сильным плюсом опыт работы n8n аналогичными инструментами автоматизации. наличие публикаций выступлений open_source проектов области ml dl nlp. предлагаем работу динамичной технологичной быстрорастущей компании_лидере фудтех рынка. возможность создавать продукты острие технологий llm ai agents высоким влиянием бизнес пользователей. профессиональное окружение сильную команду экспертов ml da de devops возможность обучения лучших. современный технологический стек pytorch fastapi clickhouse milvus n8n airflow. возможность видеть реальные результаты своего труда масштабе. конкурентную оплату труда социальный пакет. комфортные условия работы офис гибрид удаленка сервера свои llm экспериментов дмс готовы создавать интеллектуальное будущее еды помощью ai присылайте свое резюме ссылки ключевые проекты github публикации будем рады знакомству.
